Bisection Method			
n	x	f(x)	approx. error
0	125	-0.134	----
1	127.5	0.0698	0.0196
2	126.25	-0.0311	0.0099
3	126.875	0.0196	0.0049
4	126.5625	-0.0057	0.0025
5	126.7188	0.007	0.0012
6	126.6406	0.0007	0.0006
7	126.6016	-0.0025	0.0003
8	126.6211	-0.0009	0.0002
9	126.6309	-0.0001	0.0001
			
Newton-Raphson Method			
n	x	f(x)	approx. error
0	130	0.2655	----
1	129.862	0.2549	0.0011
2	129.7294	0.2447	0.001
3	129.6022	0.2349	0.001
4	129.48	0.2254	0.0009
5	129.3628	0.2164	0.0009
6	129.2502	0.2076	0.0009
7	129.1422	0.1992	0.0008
8	129.0386	0.1912	0.0008
9	128.9391	0.1834	0.0008
10	128.8437	0.176	0.0007
11	128.7521	0.1688	0.0007
12	128.6643	0.1619	0.0007
13	128.58	0.1553	0.0007
14	128.4992	0.149	0.0006
15	128.4217	0.1429	0.0006
16	128.3473	0.137	0.0006
17	128.276	0.1314	0.0006
18	128.2076	0.126	0.0005
19	128.142	0.1208	0.0005
20	128.0792	0.1158	0.0005
21	128.0189	0.1111	0.0005
22	127.961	0.1065	0.0005
23	127.9056	0.1021	0.0004
24	127.8524	0.0979	0.0004
25	127.8015	0.0938	0.0004
26	127.7526	0.0899	0.0004
27	127.7058	0.0862	0.0004
28	127.6609	0.0826	0.0004
29	127.6179	0.0792	0.0003
30	127.5767	0.0759	0.0003
31	127.5371	0.0728	0.0003
32	127.4992	0.0697	0.0003
33	127.4629	0.0668	0.0003
34	127.4281	0.064	0.0003
35	127.3948	0.0614	0.0003
36	127.3628	0.0588	0.0003
37	127.3322	0.0564	0.0002
38	127.3028	0.054	0.0002
39	127.2747	0.0518	0.0002
40	127.2477	0.0496	0.0002
41	127.2219	0.0475	0.0002
42	127.1971	0.0455	0.0002
43	127.1734	0.0436	0.0002
44	127.1507	0.0418	0.0002
45	127.1289	0.0401	0.0002
46	127.108	0.0384	0.0002
47	127.088	0.0368	0.0002
48	127.0689	0.0352	0.0002
49	127.0505	0.0338	0.0001
50	127.0329	0.0323	0.0001
51	127.0161	0.031	0.0001
52	126.9999	0.0297	0.0001
53	126.9845	0.0284	0.0001
54	126.9697	0.0272	0.0001
55	126.9555	0.0261	0.0001
56	126.9419	0.025	0.0001
57	126.9288	0.024	0.0001
58	126.9164	0.0229	0.0001
			
Secant Method			
n	x	f(x)	approx. error
0	130	0.2655	----
1	126.8156	0.0148	0.0251
2	126.6274	-0.0004	0.0015
3	126.6324	0	0
			
False-Position Method			
n	x	f(x)	approx. error
0	126.8156	0.0148	----
1	126.6424	0.0008	0.0014
2	126.633	0	0.0001
			
Modified Secant Method			
n	x	f(x)	approx. error
0	130	0.2655	----
1	126.5037	-0.0104	0.0276
2	126.6336	0.0001	0.001
3	126.6324	-0	0
